timestamp,event,trial
791699.693323291,trial start,1
791701.733032583,stimulus onset,1
791702.732451833,decode start,1
791705.399066583,decode end,1
791705.399075833,trial end,1
791710.433186916,trial start,2
791712.4658915,stimulus onset,2
791713.465762625,decode start,2
791714.549250791,decode end,2
791714.549260541,trial end,2
791719.583128041,trial start,3
791721.615921375,stimulus onset,3
791722.615729458,decode start,3
791723.065905666,decode end,3
791723.06591825,trial end,3
791728.101617541,trial start,4
791730.132971375,stimulus onset,4
791731.132510333,decode start,4
791731.582587125,decode end,4
791731.582600083,trial end,4
791736.616491,trial start,5
791738.649225875,stimulus onset,5
791739.649276875,decode start,5
791740.849251625,decode end,5
791740.849265041,trial end,5
791745.883113083,trial start,6
791747.915878375,stimulus onset,6
791748.916275916,decode start,6
791749.3660835,decode end,6
791749.3660985,trial end,6
791754.400219458,trial start,7
791756.43294275,stimulus onset,7
791757.432518708,decode start,7
791757.882690666,decode end,7
791757.882704416,trial end,7
791762.918536958,trial start,8
791764.949825375,stimulus onset,8
791765.9493255,decode start,8
791766.615900583,decode end,8
791766.615955041,trial end,8
791771.650110875,trial start,9
791773.682697291,stimulus onset,9
791774.682668,decode start,9
791775.132618083,decode end,9
791775.132626416,trial end,9
791780.166571875,trial start,10
791782.199359875,stimulus onset,10
791783.199339875,decode start,10
791786.499459041,decode end,10
791786.49947975,trial end,10
