trial,target_direction,target_frequency,response_direction,response_frequency,rt,correct,timestamp
1,right,15,left,10,3.6626508333720267,False,791705.39910525
2,left,15,right,10,2.0833427084144205,False,791714.549291541
3,right,10,right,10,1.449708875035867,True,791723.06595675
4,left,10,right,15,1.44734499999322,False,791731.582632416
5,left,15,left,15,2.199866458424367,True,791740.849295916
6,left,15,right,10,1.450039291754365,False,791749.3661435
7,left,15,right,10,1.4496094166534021,False,791757.882807916
8,right,15,right,15,1.6665855000028387,True,791766.61599025
9,right,15,right,15,1.4498390415683389,True,791775.132655166
10,left,15,right,10,4.300024041556753,False,791786.499623375
