EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-62685.9140625,-62615.015625,-62933.21484375,-62801.51953125,-63039.16015625,-62990.8828125,-62775.6796875,-62788.46484375,0.30517578125,0.92724609375,0.572021484375,-0.18292683362960815,2.4695122241973877,0.24390244483947754,60.0,3844570.0,791694.48861
-62721.85546875,-62651.13671875,-62969.24609375,-62837.63671875,-63075.37109375,-63027.08984375,-62811.890625,-62824.76171875,0.30322265625,0.929931640625,0.5712890625,-0.3048780560493469,2.591463327407837,0.3353658616542816,60.0,3844571.0,791694.491114333
-62565.03515625,-62494.2265625,-62811.890625,-62680.55078125,-62918.28125,-62870.00390625,-62654.890625,-62667.2265625,0.302978515625,0.930908203125,0.5703125,-0.21341463923454285,2.5609755516052246,0.24390244483947754,60.0,3844572.0,791694.493503541
-62509.78125,-62439.0625,-62756.45703125,-62625.20703125,-62862.94140625,-62814.75,-62599.19140625,-62611.88671875,0.302001953125,0.929931640625,0.5712890625,-0.21341463923454285,2.4695122241973877,0.24390244483947754,60.0,3844573.0,791694.496044125
-62651.4921875,-62580.59375,-62898.43359375,-62766.73828125,-63004.73828125,-62956.7265625,-62740.80859375,-62754.04296875,0.302978515625,0.930419921875,0.57080078125,-0.15243902802467346,2.4390244483947754,0.15243902802467346,60.0,3844574.0,791694.498480916
-62729.8125,-62658.5546875,-62977.203125,-62845.328125,-63083.328125,-63035.13671875,-62819.48828125,-62832.6328125,0.3037109375,0.92919921875,0.570068359375,-0.21341463923454285,2.4390244483947754,0.21341463923454285,60.0,3844575.0,791694.501121375
-62599.45703125,-62528.19921875,-62846.48828125,-62714.703125,-62952.79296875,-62904.515625,-62688.7734375,-62701.73828125,0.3046875,0.928466796875,0.569580078125,-0.3048780560493469,2.408536672592163,0.15243902802467346,60.0,3844576.0,791694.503548291
-62502.18359375,-62431.73046875,-62749.03515625,-62617.609375,-62855.51953125,-62807.5078125,-62591.76953125,-62604.64453125,0.3046875,0.929443359375,0.567626953125,-0.24390244483947754,2.4390244483947754,0.09146341681480408,60.0,3844577.0,791694.565638791
-62621.18359375,-62550.8203125,-62868.3046875,-62736.78515625,-62974.609375,-62926.328125,-62710.94921875,-62723.46484375,0.302490234375,0.92919921875,0.565673828125,-0.21341463923454285,2.5304877758026123,0.09146341681480408,60.0,3844578.0,791694.565772083
-62732.31640625,-62661.68359375,-62979.52734375,-62847.83203125,-63085.921875,-63037.55078125,-62822.171875,-62834.59765625,0.30078125,0.93017578125,0.570556640625,-0.060975611209869385,2.4695122241973877,0.18292683362960815,60.0,3844579.0,791694.565803791
