EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-62638.171875,-62568.07421875,-62885.6484375,-62753.328125,-62992.22265625,-62943.2265625,-62728.203125,-62740.36328125,0.302001953125,0.929443359375,0.56640625,-0.18292683362960815,2.408536672592163,0.21341463923454285,66.66666412353516,3391607.0,789885.983470708
-62757.08203125,-62686.80859375,-63004.5625,-62872.41796875,-63110.8671875,-63062.140625,-62847.02734375,-62859.54296875,0.30078125,0.931640625,0.564697265625,-0.15243902802467346,2.3475608825683594,0.21341463923454285,66.66666412353516,3391608.0,789885.983494041
-62875.1875,-62804.55859375,-63122.66796875,-62990.43359375,-63228.97265625,-63180.06640625,-62965.1328125,-62977.55859375,0.30419921875,0.930419921875,0.56884765625,-0.18292683362960815,2.408536672592163,0.24390244483947754,66.66666412353516,3391609.0,789885.983510208
-62771.92578125,-62701.3828125,-63019.1328125,-62887.34765625,-63125.70703125,-63076.7109375,-62861.77734375,-62874.5625,0.305419921875,0.930908203125,0.571044921875,-0.15243902802467346,2.4390244483947754,0.18292683362960815,66.66666412353516,3391610.0,789885.983525208
-62641.03125,-62570.84765625,-62888.33203125,-62756.7265625,-62995.171875,-62946.265625,-62731.33203125,-62744.1171875,0.30517578125,0.929931640625,0.5712890625,-0.12195122241973877,2.5,0.27439025044441223,66.66666412353516,3391611.0,789885.986578166
-62731.87109375,-62661.5078125,-62979.078125,-62847.3828125,-63085.65234375,-63037.015625,-62821.9921875,-62834.5078125,0.3017578125,0.931640625,0.568115234375,-0.09146341681480408,2.4695122241973877,0.3048780560493469,66.66666412353516,3391612.0,789885.988935666
-62860.2578125,-62790.33984375,-63108.00390625,-62976.21875,-63214.30859375,-63165.671875,-62950.6484375,-62963.34375,0.30078125,0.9306640625,0.569091796875,-0.12195122241973877,2.4695122241973877,0.21341463923454285,66.66666412353516,3391613.0,789885.991612916
-62783.90625,-62713.8984375,-63031.3828125,-62899.5078125,-63137.95703125,-63088.9609375,-62874.20703125,-62886.6328125,0.3017578125,0.929931640625,0.568603515625,-0.09146341681480408,2.5304877758026123,0.15243902802467346,66.66666412353516,3391614.0,789885.99404225
-62644.4296875,-62574.24609375,-62891.73046875,-62759.765625,-62998.03515625,-62949.30859375,-62734.37109375,-62746.7109375,0.3017578125,0.929931640625,0.568359375,-0.09146341681480408,2.5609755516052246,0.09146341681480408,66.66666412353516,3391615.0,789885.996697583
-62706.2109375,-62636.203125,-62953.8671875,-62821.8125,-63060.171875,-63011.265625,-62796.0625,-62808.671875,0.3017578125,0.929931640625,0.567138671875,-0.12195122241973877,2.591463327407837,0.15243902802467346,66.66666412353516,3391616.0,789885.99915225
-62852.8359375,-62782.65234375,-63100.2265625,-62968.62109375,-63206.80078125,-63157.89453125,-62942.69140625,-62955.8359375,0.300048828125,0.930908203125,0.570556640625,-0.21341463923454285,2.4695122241973877,0.09146341681480408,66.66666412353516,3391617.0,789886.001516708
-62828.16015625,-62757.6171875,-63075.4609375,-62943.5859375,-63181.9453125,-63133.12890625,-62918.015625,-62930.98046875,0.30126953125,0.928955078125,0.566162109375,-0.21341463923454285,2.5,0.12195122241973877,66.66666412353516,3391618.0,789886.004113416
-62667.85546875,-62597.1328125,-62914.88671875,-62783.1015625,-63021.7265625,-62972.8203125,-62757.6171875,-62770.4921875,0.302490234375,0.928955078125,0.5673828125,-0.24390244483947754,2.5,0.12195122241973877,66.66666412353516,3391619.0,789886.006546416
-62674.0234375,-62603.30078125,-62921.14453125,-62789.1796875,-63027.80859375,-62978.90234375,-62763.7890625,-62776.75,0.301513671875,0.928466796875,0.566650390625,-0.21341463923454285,2.5,0.15243902802467346,66.66666412353516,3391620.0,789886.060533083
-62830.75390625,-62760.66015625,-63078.5,-62946.4453125,-63185.1640625,-63136.2578125,-62921.234375,-62934.01953125,0.30224609375,0.9287109375,0.566650390625,-0.12195122241973877,2.5,0.15243902802467346,66.66666412353516,3391621.0,789886.060556125
-62848.45703125,-62778.62890625,-63096.203125,-62964.1484375,-63202.59765625,-63153.87109375,-62938.84765625,-62951.6328125,0.302978515625,0.93017578125,0.568359375,-0.18292683362960815,2.5,0.09146341681480408,66.66666412353516,3391622.0,789886.060570916
-62688.7734375,-62618.76953125,-62936.61328125,-62803.84375,-63042.55859375,-62994.01171875,-62778.5390625,-62791.32421875,0.3037109375,0.931884765625,0.566650390625,-0.24390244483947754,2.378048896789551,0.21341463923454285,66.66666412353516,3391623.0,789886.064085625
