EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-62559.76171875,-62489.30859375,-62807.23828125,-62675.36328125,-62913.6328125,-62865.265625,-62650.5078125,-62662.1328125,0.302734375,0.930419921875,0.56982421875,-0.21341463923454285,2.5,0.15243902802467346,60.0,3903955.0,791931.61820675
-62526.94921875,-62456.67578125,-62774.78515625,-62642.73046875,-62881.1796875,-62832.36328125,-62617.4296875,-62629.41015625,0.3056640625,0.930419921875,0.567626953125,-0.12195122241973877,2.378048896789551,0.12195122241973877,60.0,3903956.0,791931.618237083
-62674.46875,-62604.015625,-62922.12890625,-62790.609375,-63028.609375,-62979.796875,-62765.0390625,-62777.01953125,0.30322265625,0.930419921875,0.567138671875,-0.18292683362960815,2.408536672592163,0.12195122241973877,60.0,3903957.0,791931.618253166
-62724.984375,-62654.7109375,-62972.640625,-62841.21484375,-63079.484375,-63030.48828125,-62815.64453125,-62827.625,0.302978515625,0.9296875,0.569091796875,-0.15243902802467346,2.5,0.18292683362960815,60.0,3903958.0,791931.618267958
-62581.30859375,-62510.85546875,-62828.78515625,-62697.08984375,-62935.80859375,-62886.36328125,-62671.7890625,-62683.41015625,0.3037109375,0.929443359375,0.569091796875,-0.3048780560493469,2.591463327407837,0.18292683362960815,60.0,3903959.0,791931.618282166
-62506.5625,-62436.37890625,-62754.22265625,-62622.5234375,-62861.0625,-62811.890625,-62596.86328125,-62609.11328125,0.302978515625,0.9306640625,0.571044921875,-0.27439025044441223,2.5,0.15243902802467346,60.0,3903960.0,791931.618296125
-62649.97265625,-62579.87890625,-62897.8984375,-62765.84375,-63004.0234375,-62955.38671875,-62740.54296875,-62752.5234375,0.303466796875,0.928466796875,0.570068359375,-0.27439025044441223,2.5,0.21341463923454285,60.0,3903961.0,791931.621322791
-62741.52734375,-62671.4296875,-62989.80859375,-62857.6640625,-63095.578125,-63047.02734375,-62832.2734375,-62844.1640625,0.30322265625,0.92919921875,0.5703125,-0.3353658616542816,2.4390244483947754,0.15243902802467346,60.0,3903962.0,791931.623734
-62612.69140625,-62542.59375,-62860.6171875,-62728.5625,-62967.01171875,-62918.10546875,-62703.2578125,-62715.23828125,0.302734375,0.92822265625,0.568115234375,-0.24390244483947754,2.378048896789551,0.21341463923454285,60.0,3903963.0,791931.626280708
-62501.19921875,-62431.015625,-62748.765625,-62616.890625,-62855.4296875,-62806.34375,-62591.58984375,-62603.75,0.303955078125,0.92919921875,0.571533203125,-0.15243902802467346,2.317073106765747,0.27439025044441223,60.0,3903964.0,791931.628728916
-62614.74609375,-62544.47265625,-62862.40234375,-62730.70703125,-62968.53125,-62919.890625,-62704.77734375,-62717.4765625,0.303466796875,0.92822265625,0.56884765625,-0.21341463923454285,2.4695122241973877,0.24390244483947754,60.0,3903965.0,791931.631348416
-62728.0234375,-62657.57421875,-62975.7734375,-62843.71875,-63081.8984375,-63032.9921875,-62817.96875,-62830.84375,0.30322265625,0.928955078125,0.569580078125,-0.21341463923454285,2.378048896789551,0.3353658616542816,60.0,3903966.0,791931.633761291
-62629.765625,-62559.046875,-62876.9765625,-62745.1015625,-62983.4609375,-62934.64453125,-62719.62109375,-62732.046875,0.30419921875,0.92919921875,0.5703125,-0.15243902802467346,2.5,0.24390244483947754,60.0,3903967.0,791931.6361685
-62505.58203125,-62435.0390625,-62752.87890625,-62620.9140625,-62859.453125,-62810.45703125,-62595.5234375,-62607.86328125,0.30419921875,0.929443359375,0.5703125,-0.15243902802467346,2.4695122241973877,0.21341463923454285,60.0,3903968.0,791931.638753916
-62591.5,-62521.2265625,-62839.24609375,-62707.28125,-62945.4609375,-62896.6484375,-62681.80078125,-62694.23046875,0.30419921875,0.929931640625,0.571533203125,-0.12195122241973877,2.591463327407837,0.15243902802467346,60.0,3903969.0,791931.641173916
-62725.609375,-62655.42578125,-62973.1796875,-62841.5703125,-63079.484375,-63031.11328125,-62815.64453125,-62828.51953125,0.30322265625,0.9306640625,0.568603515625,-0.09146341681480408,2.4695122241973877,0.18292683362960815,60.0,3903970.0,791931.673214208
-62666.3359375,-62595.97265625,-62913.9921875,-62782.296875,-63020.02734375,-62971.48046875,-62756.45703125,-62768.97265625,0.30419921875,0.929931640625,0.57080078125,-0.15243902802467346,2.591463327407837,0.21341463923454285,60.0,3903971.0,791931.673239625
-62507.90625,-62437.00390625,-62755.1171875,-62623.23828125,-62861.421875,-62812.3359375,-62597.58203125,-62610.0078125,0.30419921875,0.929931640625,0.5712890625,-0.27439025044441223,2.4390244483947754,0.27439025044441223,60.0,3903972.0,791931.673254166
-62548.40625,-62477.59765625,-62795.796875,-62663.5625,-62901.921875,-62853.46484375,-62638.26171875,-62650.77734375,0.30322265625,0.930908203125,0.5693359375,-0.27439025044441223,2.4390244483947754,0.27439025044441223,60.0,3903973.0,791931.673268291
-62708.80078125,-62638.4375,-62956.4609375,-62824.5859375,-63062.40625,-63013.94921875,-62798.92578125,-62811.171875,0.3037109375,0.929931640625,0.56884765625,-0.27439025044441223,2.408536672592163,0.21341463923454285,60.0,3903974.0,791931.6761905
-62693.6015625,-62622.97265625,-62940.90234375,-62809.20703125,-63047.20703125,-62998.125,-62783.3671875,-62795.70703125,0.303466796875,0.929443359375,0.5693359375,-0.3353658616542816,2.378048896789551,0.21341463923454285,60.0,3903975.0,791931.679268958
-62530.078125,-62459.1796875,-62776.83984375,-62645.32421875,-62883.59375,-62834.95703125,-62619.84375,-62632.08984375,0.30419921875,0.928466796875,0.5693359375,-0.15243902802467346,2.378048896789551,0.24390244483947754,60.0,3903976.0,791931.67928825
-62521.046875,-62450.50390625,-62768.078125,-62636.65234375,-62874.921875,-62826.1953125,-62611.34765625,-62623.41796875,0.303466796875,0.93017578125,0.570068359375,-0.21341463923454285,2.4390244483947754,0.24390244483947754,60.0,3903977.0,791931.681263583
-62679.65625,-62609.11328125,-62927.046875,-62795.52734375,-63033.796875,-62984.80078125,-62769.95703125,-62782.296875,0.3046875,0.931396484375,0.5673828125,-0.24390244483947754,2.408536672592163,0.18292683362960815,60.0,3903978.0,791931.683749708
-62710.58984375,-62639.87109375,-62958.24609375,-62826.37109375,-63064.1953125,-63015.55859375,-62800.71484375,-62813.05078125,0.304931640625,0.927978515625,0.570068359375,-0.15243902802467346,2.408536672592163,0.24390244483947754,60.0,3903979.0,791931.686273541
-62553.14453125,-62482.3359375,-62800.53515625,-62668.48046875,-62906.5703125,-62858.55859375,-62643.1796875,-62655.42578125,0.305419921875,0.927978515625,0.569091796875,-0.12195122241973877,2.4390244483947754,0.18292683362960815,60.0,3903980.0,791931.688687458
-62510.41015625,-62439.95703125,-62758.06640625,-62626.37109375,-62864.19140625,-62815.82421875,-62600.53125,-62612.95703125,0.302734375,0.927734375,0.56884765625,-0.18292683362960815,2.4390244483947754,0.18292683362960815,60.0,3903981.0,791931.691184541
-62667.05078125,-62596.86328125,-62914.796875,-62783.1875,-63021.1015625,-62972.375,-62757.26171875,-62769.8671875,0.30419921875,0.928955078125,0.5703125,-0.12195122241973877,2.4390244483947754,0.15243902802467346,60.0,3903982.0,791931.693760958
-62727.3984375,-62656.85546875,-62974.7890625,-62843.1796875,-63081.18359375,-63032.72265625,-62817.7890625,-62830.3046875,0.3046875,0.928955078125,0.5712890625,-0.12195122241973877,2.4390244483947754,0.12195122241973877,60.0,3903983.0,791931.696138541
-62583.2734375,-62512.5546875,-62830.39453125,-62698.96875,-62936.7890625,-62888.0625,-62673.21875,-62685.82421875,0.305419921875,0.927490234375,0.567626953125,-0.12195122241973877,2.4390244483947754,0.15243902802467346,60.0,3903984.0,791931.728303666
-62498.25,-62428.2421875,-62745.90625,-62613.94140625,-62852.03125,-62803.6640625,-62588.55078125,-62601.06640625,0.3037109375,0.927978515625,0.571044921875,-0.12195122241973877,2.3475608825683594,0.15243902802467346,60.0,3903985.0,791931.72833875
-62627.0859375,-62557.078125,-62874.7421875,-62742.95703125,-62981.046875,-62932.765625,-62717.5625,-62729.8125,0.302978515625,0.92822265625,0.569580078125,-0.21341463923454285,2.4695122241973877,0.21341463923454285,60.0,3903986.0,791931.728355583
-62723.9140625,-62653.90625,-62971.75,-62840.23046875,-63077.96484375,-63029.7734375,-62814.390625,-62826.4609375,0.302001953125,0.927978515625,0.56787109375,-0.27439025044441223,2.4695122241973877,0.21341463923454285,60.0,3903987.0,791931.728371333
-62601.06640625,-62530.8828125,-62848.72265625,-62717.02734375,-62955.1171875,-62906.48046875,-62691.45703125,-62703.70703125,0.30322265625,0.928466796875,0.570556640625,-0.18292683362960815,2.4695122241973877,0.27439025044441223,60.0,3903988.0,791931.73132925
-62487.87890625,-62417.42578125,-62735.35546875,-62603.66015625,-62841.5703125,-62793.11328125,-62578.08984375,-62590.60546875,0.305419921875,0.926513671875,0.569091796875,-0.21341463923454285,2.408536672592163,0.24390244483947754,60.0,3903989.0,791931.733850375
-62592.83984375,-62522.92578125,-62840.58984375,-62708.890625,-62946.89453125,-62898.43359375,-62683.6796875,-62695.83984375,0.303955078125,0.92822265625,0.572509765625,-0.18292683362960815,2.5,0.24390244483947754,60.0,3903990.0,791931.736327083
-62720.3359375,-62650.0625,-62967.7265625,-62836.4765625,-63074.12109375,-63025.75,-62810.90625,-62823.51171875,0.30517578125,0.9296875,0.569091796875,-0.15243902802467346,2.5304877758026123,0.12195122241973877,60.0,3903991.0,791931.738781083
-62637.8125,-62567.359375,-62885.0234375,-62753.86328125,-62991.59765625,-62942.87109375,-62728.203125,-62740.6328125,0.303466796875,0.9306640625,0.57177734375,-0.12195122241973877,2.591463327407837,0.09146341681480408,60.0,3903992.0,791931.741117583
-62504.328125,-62434.14453125,-62751.5390625,-62620.109375,-62858.0234375,-62809.65234375,-62594.80859375,-62607.1484375,0.302001953125,0.93017578125,0.570068359375,-0.15243902802467346,2.4390244483947754,0.12195122241973877,60.0,3903993.0,791931.743675916
-62566.734375,-62496.28125,-62814.3046875,-62682.6953125,-62920.6953125,-62872.41796875,-62657.21484375,-62669.73046875,0.30224609375,0.9296875,0.56982421875,-0.12195122241973877,2.378048896789551,0.15243902802467346,60.0,3903994.0,791931.74617075
-62718.90625,-62648.453125,-62966.3828125,-62834.8671875,-63072.95703125,-63024.23046875,-62809.20703125,-62821.9921875,0.30322265625,0.929443359375,0.570556640625,-0.21341463923454285,2.4390244483947754,0.15243902802467346,60.0,3903995.0,791931.74883925
-62680.4609375,-62610.09765625,-62927.9375,-62796.421875,-63034.06640625,-62985.60546875,-62770.76171875,-62783.1015625,0.302734375,0.930419921875,0.570068359375,-0.24390244483947754,2.6524391174316406,0.18292683362960815,60.0,3903996.0,791931.751334166
