trial,target_direction,target_frequency,response_direction,response_frequency,rt,correct,timestamp
1,right,15,left,10,1.4494957083370537,False,791940.233184041
2,right,10,right,10,3.3331765417242423,True,791950.633078166
3,left,15,right,10,6.3165402500890195,False,791964.016676666
4,right,15,left,10,3.8666337083559483,False,791974.949857125
5,right,10,right,10,2.600026208325289,True,791984.616634791
6,right,10,right,10,2.933484624954872,True,791994.616789416
7,left,15,left,15,1.9568105000071228,True,792003.650078708
8,right,15,left,10,10.283192041679285,False,792021.000024583
9,left,10,left,10,2.91657350002788,True,792030.983478
10,left,15,right,10,1.5496455415850505,False,792039.599977541
