timestamp,event,trial
791936.735904208,trial start,1
791938.784049333,stimulus onset,1
791939.783188833,decode start,1
791940.233078083,decode end,1
791940.233087166,trial end,1
791945.26716825,trial start,2
791947.29982275,stimulus onset,2
791948.300001833,decode start,2
791950.633038791,decode end,2
791950.633047375,trial end,2
791955.667487333,trial start,3
791957.700074083,stimulus onset,3
791958.700014041,decode start,3
791964.016557708,decode end,3
791964.016566291,trial end,3
791969.051077,trial start,4
791971.083240291,stimulus onset,4
791972.083130041,decode start,4
791974.949817291,decode end,4
791974.949825416,trial end,4
791979.983972166,trial start,5
791982.016622833,stimulus onset,5
791983.016538375,decode start,5
791984.616594458,decode end,5
791984.616604833,trial end,5
791989.650389,trial start,6
791991.683460541,stimulus onset,6
791992.683369375,decode start,6
791994.6167,decode end,6
791994.616754375,trial end,6
791999.650598208,trial start,7
792001.683278416,stimulus onset,7
792002.683209166,decode start,7
792003.649999,decode end,7
792003.650007166,trial end,7
792008.684082791,trial start,8
792010.716648375,stimulus onset,8
792011.716745166,decode start,8
792020.999978708,decode end,8
792020.999986958,trial end,8
792026.03437225,trial start,9
792028.066849666,stimulus onset,9
792029.066615541,decode start,9
792030.983385333,decode end,9
792030.983434041,trial end,9
792036.01769875,trial start,10
792038.050176166,stimulus onset,10
792039.04997,decode start,10
792039.599938708,decode end,10
792039.599948166,trial end,10
