EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
243794.953125,276075.4375,609039.375,219576.03125,702794.8125,650142.0,703715.4375,225754.3125,0.037841796875,1.020263671875,0.19775390625,0.24390244483947754,9.603658676147461,-1.9817073345184326,73.33333587646484,80683.0,20159.775162004
244210.328125,276569.21875,609493.875,220280.90625,702866.0625,650199.125,703786.5,226217.796875,0.038330078125,1.017578125,0.194580078125,0.09146341681480408,9.664633750915527,-2.012195110321045,73.33333587646484,80684.0,20159.779079271
243968.21875,276358.5,609304.625,219869.015625,702816.875,649342.5625,703737.4375,225996.15625,0.03857421875,1.018310546875,0.197021484375,0.24390244483947754,9.634146690368652,-2.012195110321045,73.33333587646484,80685.0,20159.787073469
243494.71875,275788.6875,608796.8125,219096.984375,702725.0,647920.3125,703645.25,225438.625,0.037353515625,1.019287109375,0.195556640625,0.12195122241973877,9.603658676147461,-1.9817073345184326,73.33333587646484,80686.0,20159.787091578
243646.703125,275882.03125,608895.5625,219369.671875,702750.375,647308.375,703670.75,225570.59375,0.036376953125,1.01806640625,0.195068359375,0.18292683362960815,9.542682647705078,-1.8902438879013062,73.33333587646484,80687.0,20159.787103822
244137.90625,276447.625,609428.6875,220172.8125,702844.25,647541.1875,703764.625,226150.75,0.036865234375,1.01904296875,0.195556640625,0.18292683362960815,9.57317066192627,-1.8292683362960815,73.33333587646484,80688.0,20159.797161661
244013.375,276376.5625,609361.125,219969.59375,702814.375,647267.6875,703734.5,226072.78125,0.037841796875,1.01708984375,0.19677734375,0.24390244483947754,9.45121955871582,-1.6158536672592163,73.33333587646484,80689.0,20159.801099596
243482.203125,275757.125,608781.125,219106.90625,702701.1875,646516.9375,703621.125,225464.640625,0.038818359375,1.015869140625,0.19384765625,-0.060975611209869385,9.420731544494629,-1.6158536672592163,73.33333587646484,80690.0,20159.801115337
243516.984375,275707.53125,608733.3125,219141.78125,702701.375,646532.8125,703621.375,225429.765625,0.03955078125,1.0166015625,0.1943359375,-0.030487805604934692,9.512195587158203,-1.4939024448394775,73.33333587646484,80691.0,20159.80412897
244083.90625,276329.0625,609306.9375,220000.359375,702812.3125,647345.0625,703733.125,226038.28125,0.040771484375,1.016357421875,0.194580078125,-0.09146341681480408,9.481707572937012,-1.4329267740249634,73.33333587646484,80692.0,20159.813140806
