EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-275831.0,-164854.21875,-76944.5390625,-228210.859375,52823.25,-245029.65625,-310586.59375,-655329.1875,0.364501953125,0.896484375,0.60009765625,-0.18292683362960815,2.408536672592163,0.15243902802467346,86.66666412353516,89320.0,873227.712972583
-275915.65625,-164910.453125,-76781.015625,-228209.25,53108.1015625,-245027.15625,-310592.59375,-655300.9375,0.364013671875,0.896728515625,0.601806640625,-0.15243902802467346,2.4695122241973877,0.18292683362960815,86.66666412353516,89321.0,873227.713010083
-275881.9375,-164871.5625,-77067.296875,-228198.4375,52643.09765625,-245061.578125,-310563.28125,-655349.0625,0.3642578125,0.89599609375,0.59912109375,-0.060975611209869385,2.4695122241973877,0.12195122241973877,86.66666412353516,89322.0,873227.713026958
-275799.34375,-164818.8125,-77256.5703125,-228203.71875,52348.234375,-245070.875,-310558.28125,-655388.5625,0.363037109375,0.897705078125,0.600830078125,-0.12195122241973877,2.4390244483947754,0.09146341681480408,86.66666412353516,89323.0,873227.713042041
-275828.21875,-164859.9375,-76977.7109375,-228223.5625,52770.0546875,-245048.796875,-310594.84375,-655356.125,0.3642578125,0.8974609375,0.598388671875,-0.030487805604934692,2.408536672592163,0.030487805604934692,86.66666412353516,89324.0,873227.7130565
-275919.21875,-164925.828125,-76736.578125,-228226.515625,53171.22265625,-245037.4375,-310610.125,-655318.1875,0.365478515625,0.899169921875,0.59521484375,-0.12195122241973877,2.4695122241973877,0.060975611209869385,86.66666412353516,89325.0,873227.715764041
-275906.4375,-164898.5625,-76964.5625,-228213.28125,52800.453125,-245068.8125,-310581.25,-655353.5,0.36669921875,0.899658203125,0.60107421875,-0.060975611209869385,2.4390244483947754,0.12195122241973877,86.66666412353516,89326.0,873227.715786916
-275814.625,-164834.1875,-77198.8125,-228213.1875,52378.6328125,-245080.0,-310566.84375,-655401.625,0.367431640625,0.897216796875,0.599365234375,-0.09146341681480408,2.5609755516052246,0.21341463923454285,86.66666412353516,89327.0,873227.716824708
-275821.875,-164858.515625,-76958.3984375,-228233.21875,52708.72265625,-245064.078125,-310599.46875,-655380.6875,0.366455078125,0.89794921875,0.596923828125,-0.12195122241973877,2.4390244483947754,0.12195122241973877,86.66666412353516,89328.0,873227.718309625
-275917.71875,-164932.625,-76651.90625,-228241.625,53204.75,-245047.8125,-310623.4375,-655336.625,0.367431640625,0.8994140625,0.596923828125,-0.15243902802467346,2.4390244483947754,0.15243902802467346,86.66666412353516,89329.0,873227.720885083
-275928.34375,-164924.84375,-76815.1640625,-228229.90625,52953.16015625,-245075.078125,-310601.0,-655359.125,0.36669921875,0.89892578125,0.598876953125,-0.060975611209869385,2.408536672592163,0.09146341681480408,86.66666412353516,89330.0,873227.721950541
-275835.8125,-164855.921875,-77107.53125,-228224.546875,52460.2578125,-245093.671875,-310578.46875,-655412.3125,0.365234375,0.897705078125,0.60107421875,-0.030487805604934692,2.408536672592163,0.15243902802467346,86.66666412353516,89331.0,873227.723128
-275818.90625,-164861.8125,-76963.671875,-228242.78125,52660.0859375,-245081.421875,-310605.125,-655404.3125,0.366943359375,0.89697265625,0.6025390625,-0.21341463923454285,2.408536672592163,0.18292683362960815,86.66666412353516,89332.0,873227.724438958
-275907.15625,-164936.65625,-76618.828125,-228254.3125,53208.59765625,-245060.5,-310636.125,-655355.75,0.365478515625,0.8984375,0.60107421875,-0.12195122241973877,2.5,0.12195122241973877,86.66666412353516,89333.0,873227.725622375
-275945.4375,-164948.1875,-76694.203125,-228243.671875,53103.09375,-245080.078125,-310618.71875,-655363.9375,0.365234375,0.898681640625,0.597900390625,-0.030487805604934692,2.5304877758026123,0.12195122241973877,86.66666412353516,89334.0,873227.812217791
-275862.375,-164883.71875,-77020.0,-228237.328125,52569.78125,-245106.640625,-310592.875,-655423.0,0.3642578125,0.897705078125,0.598388671875,-0.060975611209869385,2.5,0.15243902802467346,86.66666412353516,89335.0,873227.81224675
-275823.84375,-164872.1875,-76981.640625,-228253.421875,52633.44140625,-245099.9375,-310612.0,-655428.1875,0.365234375,0.8994140625,0.595947265625,-0.030487805604934692,2.4695122241973877,0.09146341681480408,86.66666412353516,89336.0,873227.812262666
-275900.8125,-164942.109375,-76623.65625,-228267.546875,53193.0390625,-245074.546875,-310646.96875,-655378.25,0.364013671875,0.89892578125,0.596435546875,-0.18292683362960815,2.4695122241973877,0.09146341681480408,86.66666412353516,89337.0,873227.812288041
-275962.78125,-164974.375,-76610.0703125,-228262.0,53236.1328125,-245088.046875,-310639.8125,-655374.3125,0.362548828125,0.899169921875,0.59814453125,-0.12195122241973877,2.4695122241973877,0.12195122241973877,86.66666412353516,89338.0,873227.812304041
-275890.8125,-164911.796875,-76933.453125,-228252.609375,52686.81640625,-245118.078125,-310610.125,-655432.0,0.36328125,0.89697265625,0.59912109375,-0.12195122241973877,2.4390244483947754,0.18292683362960815,86.66666412353516,89339.0,873227.812318625
-275831.4375,-164881.75,-76953.65625,-228264.15625,52600.26953125,-245114.234375,-310619.96875,-655450.4375,0.365966796875,0.89794921875,0.6005859375,-0.09146341681480408,2.5,0.18292683362960815,86.66666412353516,89340.0,873227.812332833
-275897.78125,-164945.5,-76586.375,-228282.125,53154.953125,-245091.34375,-310656.875,-655404.75,0.364501953125,0.89794921875,0.59912109375,-0.060975611209869385,2.5609755516052246,0.21341463923454285,86.66666412353516,89341.0,873227.812346958
-275974.5,-164993.15625,-76483.734375,-228278.8125,53345.92578125,-245095.734375,-310658.5,-655385.6875,0.36474609375,0.8974609375,0.6025390625,-0.12195122241973877,2.5,0.12195122241973877,86.66666412353516,89342.0,873227.812360958
-275922.1875,-164941.921875,-76794.0703125,-228266.5625,52836.9296875,-245128.71875,-310627.375,-655437.75,0.364501953125,0.89892578125,0.6015625,-0.15243902802467346,2.4695122241973877,0.15243902802467346,86.66666412353516,89343.0,873227.812375291
-275844.9375,-164895.171875,-76931.3046875,-228273.1875,52627.2734375,-245132.5625,-310626.9375,-655468.1875,0.36474609375,0.899169921875,0.598876953125,-0.18292683362960815,2.4695122241973877,0.21341463923454285,86.66666412353516,89344.0,873227.812389166
-275886.34375,-164944.4375,-76618.46875,-228291.6875,53105.15234375,-245107.53125,-310664.21875,-655428.4375,0.364501953125,0.8994140625,0.597900390625,-0.12195122241973877,2.5,0.15243902802467346,86.66666412353516,89345.0,873227.812403125
-275977.09375,-165007.015625,-76427.9453125,-228293.5625,53429.69921875,-245103.328125,-310674.84375,-655398.625,0.3662109375,0.89794921875,0.598388671875,-0.09146341681480408,2.408536672592163,0.12195122241973877,86.66666412353516,89346.0,873227.812416916
-275950.25,-164970.890625,-76696.4375,-228281.140625,52994.734375,-245136.859375,-310644.1875,-655441.6875,0.3662109375,0.896484375,0.598876953125,-0.15243902802467346,2.591463327407837,0.060975611209869385,86.66666412353516,89347.0,873227.812430916
-275863.53125,-164913.140625,-76909.046875,-228283.8125,52660.44140625,-245147.40625,-310635.59375,-655483.875,0.364990234375,0.8955078125,0.598876953125,-0.15243902802467346,2.5,0.030487805604934692,86.66666412353516,89348.0,873227.812444916
-275885.09375,-164947.828125,-76650.03125,-228304.203125,53052.7578125,-245127.296875,-310672.15625,-655455.25,0.362548828125,0.89697265625,0.5966796875,-0.12195122241973877,2.378048896789551,0.09146341681480408,86.66666412353516,89349.0,873227.812458625
-275978.40625,-165017.921875,-76387.1796875,-228309.390625,53486.29296875,-245113.96875,-310691.21875,-655415.0,0.364013671875,0.8984375,0.59521484375,-0.15243902802467346,2.317073106765747,0.060975611209869385,86.66666412353516,89350.0,873227.812472833
-275975.1875,-164997.359375,-76594.3359375,-228295.71875,53153.25390625,-245143.390625,-310662.5,-655445.25,0.3642578125,0.897216796875,0.597900390625,-0.09146341681480408,2.3475608825683594,0.12195122241973877,86.66666412353516,89351.0,873227.81248675
