timestamp,event,trial
788508.594672541,trial start,1
788510.640283208,stimulus onset,1
788511.640139125,decode start,1
788520.05663575,decode end,1
788520.056649833,trial end,1
788525.090945916,trial start,2
788527.123888625,stimulus onset,2
788528.123482166,decode start,2
788529.523430375,decode end,2
788529.523439708,trial end,2
788534.557378708,trial start,3
788536.59041825,stimulus onset,3
788537.590150333,decode start,3
788540.556841125,decode end,3
788540.556851541,trial end,3
788545.590746041,trial start,4
788547.623486166,stimulus onset,4
788548.62354325,decode start,4
788551.490082333,decode end,4
788551.490097583,trial end,4
788556.523921291,trial start,5
788558.556781208,stimulus onset,5
788559.556794166,decode start,5
788560.973840875,decode end,5
788560.973878625,trial end,5
788566.007763166,trial start,6
788568.040118958,stimulus onset,6
788569.040141333,decode start,6
788570.440126416,decode end,6
788570.440179583,trial end,6
788575.474293166,trial start,7
788577.506777916,stimulus onset,7
788578.506829541,decode start,7
788581.890150458,decode end,7
788581.890159291,trial end,7
788586.923897416,trial start,8
788588.95675275,stimulus onset,8
788589.956787666,decode start,8
788593.556706041,decode end,8
788593.556759333,trial end,8
788598.591246416,trial start,9
788600.623976375,stimulus onset,9
788601.623372083,decode start,9
788608.373445041,decode end,9
788608.373452833,trial end,9
788613.407715583,trial start,10
788615.442136416,stimulus onset,10
788616.440157625,decode start,10
788617.106700291,decode end,10
788617.10670875,trial end,10
