EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-386325.5,-294400.28125,-277172.625,-362574.53125,170110.28125,-371345.71875,-440353.59375,-750000.0625,0.373046875,0.893798828125,0.60107421875,-0.12195122241973877,2.591463327407837,0.060975611209869385,86.66666412353516,133446.0,873403.896274541
-386226.34375,-294332.6875,-277099.59375,-362570.5,169667.0,-371365.21875,-440335.09375,-750000.0625,0.373046875,0.89404296875,0.60009765625,-0.09146341681480408,2.5,0.0,86.66666412353516,133447.0,873403.896304041
-386222.9375,-294345.46875,-277136.59375,-362589.1875,169908.125,-371345.96875,-440364.40625,-750000.0625,0.371337890625,0.894775390625,0.60107421875,-0.12195122241973877,2.4695122241973877,0.060975611209869385,86.66666412353516,133448.0,873403.896320333
-386321.65625,-294419.15625,-277219.375,-362598.3125,170425.171875,-371323.375,-440390.6875,-750000.0625,0.371337890625,0.892822265625,0.60107421875,-0.09146341681480408,2.4390244483947754,0.060975611209869385,86.66666412353516,133449.0,873403.896335291
-386348.90625,-294422.90625,-277201.0625,-362588.125,170221.40625,-371348.75,-440370.65625,-750000.0625,0.37109375,0.893798828125,0.601806640625,-0.12195122241973877,2.5,0.12195122241973877,86.66666412353516,133450.0,873403.896349833
-386258.15625,-294357.375,-277123.1875,-362584.0,169728.59375,-371380.84375,-440347.15625,-750000.0625,0.37109375,0.895263671875,0.60107421875,-0.18292683362960815,2.408536672592163,0.15243902802467346,86.66666412353516,133451.0,873403.89636425
-386227.59375,-294350.75,-277138.28125,-362599.03125,169843.578125,-371366.71875,-440369.59375,-750000.0625,0.37255859375,0.894287109375,0.60302734375,-0.15243902802467346,2.4390244483947754,0.18292683362960815,86.66666412353516,133452.0,873403.896378916
-386315.65625,-294420.125,-277223.59375,-362609.40625,170385.375,-371335.53125,-440400.4375,-750000.0625,0.3720703125,0.896484375,0.599609375,-0.15243902802467346,2.4390244483947754,0.21341463923454285,86.66666412353516,133453.0,873403.896393125
-386368.3125,-294442.5625,-277227.0,-362601.09375,170331.734375,-371352.875,-440386.84375,-750000.0625,0.37353515625,0.89404296875,0.60107421875,-0.15243902802467346,2.5,0.3048780560493469,86.66666412353516,133454.0,873403.8964075
-386284.53125,-294378.8125,-277146.53125,-362592.875,169776.96875,-371386.46875,-440359.40625,-750000.0625,0.37109375,0.892333984375,0.6005859375,-0.15243902802467346,2.5,0.24390244483947754,86.66666412353516,133455.0,873403.896421541
-386231.53125,-294353.15625,-277139.1875,-362605.09375,169759.171875,-371379.5,-440372.1875,-750000.0625,0.3720703125,0.892333984375,0.602294921875,-0.15243902802467346,2.5304877758026123,0.24390244483947754,86.66666412353516,133456.0,873403.896435541
-386307.96875,-294417.1875,-277224.125,-362620.5625,170310.546875,-371349.75,-440407.875,-750000.0625,0.3740234375,0.892578125,0.6005859375,-0.24390244483947754,2.591463327407837,0.24390244483947754,86.66666412353516,133457.0,873403.89644975
-386383.15625,-294457.9375,-277251.5625,-362616.8125,170412.375,-371358.9375,-440404.375,-750000.0625,0.373779296875,0.892822265625,0.599853515625,-0.21341463923454285,2.5609755516052246,0.24390244483947754,86.66666412353516,133458.0,873403.896463666
-386316.65625,-294402.0625,-277174.78125,-362606.0,169876.921875,-371396.21875,-440373.875,-750000.0625,0.3740234375,0.893798828125,0.6005859375,-0.15243902802467346,2.5,0.15243902802467346,86.66666412353516,133459.0,873403.896477541
-386248.15625,-294365.3125,-277148.5,-362616.90625,169732.0,-371400.96875,-440380.96875,-750000.0625,0.37353515625,0.89404296875,0.601318359375,-0.15243902802467346,2.4390244483947754,0.27439025044441223,86.66666412353516,133460.0,873403.896491458
-386306.375,-294419.0625,-277227.0625,-362634.78125,170227.3125,-371370.21875,-440418.3125,-750000.0625,0.37060546875,0.893798828125,0.60302734375,-0.12195122241973877,2.5,0.12195122241973877,86.66666412353516,133461.0,873403.896505208
-386390.5,-294468.78125,-277269.8125,-362629.53125,170473.359375,-371364.125,-440418.9375,-750000.0625,0.37060546875,0.89501953125,0.602294921875,-0.18292683362960815,2.5304877758026123,0.18292683362960815,86.66666412353516,133462.0,873403.896518958
-386344.90625,-294422.71875,-277200.78125,-362615.84375,169973.75,-371398.03125,-440385.59375,-750000.0625,0.37158203125,0.893310546875,0.603271484375,-0.21341463923454285,2.4695122241973877,0.18292683362960815,86.66666412353516,133463.0,873403.89653275
