timestamp,event,trial
788269.661704916,trial start,1
788271.706995916,stimulus onset,1
788272.707112291,decode start,1
788277.040351291,decode end,1
788277.040362791,trial end,1
788282.074448916,trial start,2
788284.107122625,stimulus onset,2
788285.107037375,decode start,2
788291.75704725,decode end,2
788291.757056083,trial end,2
788296.79124675,trial start,3
788298.823707583,stimulus onset,3
788299.823669666,decode start,3
788301.123583625,decode end,3
788301.123614875,trial end,3
788306.159123416,trial start,4
788308.190484,stimulus onset,4
788309.190361333,decode start,4
788310.790369125,decode end,4
788310.790421291,trial end,4
788315.824124958,trial start,5
788317.857018958,stimulus onset,5
788318.857071958,decode start,5
788321.82377775,decode end,5
788321.823844166,trial end,5
788326.858043583,trial start,6
788328.890312875,stimulus onset,6
788329.890475166,decode start,6
788342.206987416,decode end,6
788342.206996791,trial end,6
788347.240875958,trial start,7
788349.273612708,stimulus onset,7
788350.273662416,decode start,7
788350.8402125,decode end,7
788350.840221916,trial end,7
788355.874250458,trial start,8
788357.907089791,stimulus onset,8
788358.906969166,decode start,8
788364.073624875,decode end,8
788364.073633791,trial end,8
788369.108191041,trial start,9
788371.140279375,stimulus onset,9
788372.14024,decode start,9
788373.4402585,decode end,9
788373.440266416,trial end,9
788378.474148916,trial start,10
788380.506879291,stimulus onset,10
788381.507239333,decode start,10
788385.623546666,decode end,10
788385.623557333,trial end,10
