timestamp,event,trial
790309.678745,trial start,1
790311.72811075,stimulus onset,1
790312.728099583,decode start,1
790313.178099083,decode end,1
790313.178107958,trial end,1
790318.212110833,trial start,2
790320.245149666,stimulus onset,2
790321.244751458,decode start,2
790322.528143333,decode end,2
790322.528152458,trial end,2
790327.562368833,trial start,3
790329.594755375,stimulus onset,3
790330.594778916,decode start,3
790331.044711208,decode end,3
790331.044722666,trial end,3
790336.082530541,trial start,4
790338.111776541,stimulus onset,4
790339.111503416,decode start,4
790339.561502625,decode end,4
790339.561511083,trial end,4
790344.5953665,trial start,5
790346.628153416,stimulus onset,5
790347.628186625,decode start,5
790348.611458916,decode end,5
790348.611507958,trial end,5
790353.645566791,trial start,6
790355.678294958,stimulus onset,6
790356.678195375,decode start,6
790357.544696125,decode end,6
790357.544705958,trial end,6
790362.578978375,trial start,7
790364.611590333,stimulus onset,7
790365.611541708,decode start,7
790366.361563208,decode end,7
790366.361613666,trial end,7
790371.395754958,trial start,8
790373.428264541,stimulus onset,8
790374.428177166,decode start,8
790377.711851375,decode end,8
790377.711872541,trial end,8
790382.746470083,trial start,9
790384.778333083,stimulus onset,9
790385.778255458,decode start,9
790386.228234375,decode end,9
790386.228242541,trial end,9
790391.262487208,trial start,10
790393.294946708,stimulus onset,10
790394.294996208,decode start,10
790394.744837083,decode end,10
790394.744845541,trial end,10
