trial,target_direction,target_frequency,response_direction,response_frequency,rt,correct,timestamp
1,left,10,right,15,1.4498873334378004,False,790313.178136583
2,right,15,left,10,2.2831669999286532,False,790322.528181208
3,left,10,left,10,1.4498905417276546,True,790331.044752541
4,left,10,left,10,1.4488882083678618,True,790339.561545708
5,right,10,left,15,1.9832167499698699,False,790348.611545333
6,right,15,left,10,1.8664322082186118,False,790357.544736208
7,right,15,right,15,1.7500107917003334,True,790366.361685291
8,right,10,right,10,4.2839847082505,True,790377.711929083
9,right,10,right,10,1.4497785832500085,True,790386.228281125
10,left,10,right,15,1.4497307082638144,False,790394.744873916
