trial,target_direction,target_frequency,response_direction,response_frequency,rt,correct,timestamp
1,right,15,right,15,1.4475114999804646,True,790040.360956083
2,right,15,left,10,2.8165503749623895,False,790050.244187208
3,right,10,right,10,3.883156416704878,True,790061.194200625
4,left,15,left,15,2.5998194583225995,True,790070.8609435
5,right,15,right,15,3.583085833466612,True,790081.511034583
6,right,15,left,10,1.566372333210893,False,790090.144466458
7,left,15,right,10,5.133082999964245,False,790102.344314291
8,right,15,left,10,6.499774291762151,False,790115.911047416
9,right,10,left,15,4.481144458404742,False,790127.461060291
10,right,15,right,15,4.166309708263725,True,790138.694481666
